country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Belgium,BE,BEL,11455519,,12,06-06-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,48,,28-05-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,318,,22-05-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,841,,21-06-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,1,04-06-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,178,,01-09-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,26-02-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,0,20-06-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,6,10-10-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,36,,17-07-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,0,28-08-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,25-01-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,453,,21-03-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,0,,17-05-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,163,,22-07-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,24,16-05-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,7,,28-09-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,03-05-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,19-06-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,617,16-04-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,1,30-04-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,,0,28-05-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,12-10-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,106,,26-08-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,04-04-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,10-06-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,4,,07-03-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,29-03-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,0,0,03-01-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,171,,30-05-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,,0,18-07-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,937,,25-07-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,5,13-05-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,191,,01-10-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,27-04-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,13-08-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,11,12-05-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,26,,13-08-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2,,28-07-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,,0,06-10-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,2,21-10-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,104,,25-07-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,0,0,31-01-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,5482,,01-08-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,19-03-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,2,10-06-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,18-07-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,412,,14-07-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,888,,03-10-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,778,,26-06-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,8,,13-07-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,112,,17-06-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,13,,09-05-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,1030,,23-07-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,0,05-08-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,07-06-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,05-05-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,0,0,12-01-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,,50,16-08-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,,0,16-10-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,5,02-08-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,1,28-09-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,1,10-09-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,162,02-06-2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,,0,09-03-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,12,,24-05-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,732,,15-06-2020,"Epidemic intelligence, national daily data"
