country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Albania,AL,ALB,2862427,,4,02-08-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,14-02-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,5,17-05-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,17-07-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,1,10-10-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,31-03-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,9622,,18-10-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,780,,07-06-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,3,24-04-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,42,,22-03-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,20-06-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,375,,16-07-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,28-09-2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,24-06-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,1,29-09-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,49,,05-10-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,25,27-04-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,150,26-09-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,153,,02-07-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,226,,04-10-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,131,,19-10-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,2,28-09-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,0,0,19-08-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,29,,30-09-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,1,01-08-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,01-06-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,27,,13-09-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,20-07-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,06-02-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2034,,22-08-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,7,08-04-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,25-08-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,3,25-09-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,12788,,09-10-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,0,18-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,17-05-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,1,,16-06-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,40,,21-05-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,14,,13-08-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,115,03-09-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,247,,30-06-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,0,09-03-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,309,,07-05-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,0,11-03-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,0,0,25-02-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,07-01-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,62,22-04-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,143,,23-05-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,,49,04-10-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,30,03-07-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,02-02-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,0,11-07-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,18,06-04-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,03-03-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,31-03-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,121,,20-04-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,287,,13-07-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,100,,15-07-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,17-08-2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,28-09-2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,1,,20-05-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,15-01-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,0,0,07-01-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,,19,15-06-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,8,06-10-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,0,10-04-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,347,,24-07-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,66,,11-06-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,6,,21-06-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,30-05-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,90,,25-08-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,0,0,26-01-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,1,15-06-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,42,,07-09-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,4,02-07-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,28-07-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,17,22-09-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,3,22-06-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,0,0,04-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,16-09-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,925,,26-03-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,15-03-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,1694,,06-09-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,0,28-09-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1022,,20-05-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,78,,31-07-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,,2,25-06-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,0,0,17-02-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,471,,21-05-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,21-08-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,,0,10-05-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,2,13-09-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2,,28-04-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,,0,05-09-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,0,17-03-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,8,09-05-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,,0,22-05-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,833,,25-10-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,1,03-05-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,3,14-05-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,0,0,02-01-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,0,22-04-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,0,31-03-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,642,,22-05-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1511,,07-10-2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,12-09-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,17-07-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,,1,16-04-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,21-09-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,54,22-05-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,918,,08-09-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,,0,19-10-2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,21,,29-09-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,1,18-06-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,5,22-08-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,1453,,08-08-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,366,,16-09-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,0,28-02-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,188,,10-08-2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,,0,27-06-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,7,,25-03-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2,,22-07-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,3,21-05-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,6,,10-05-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,401,,21-04-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,1,24-04-2020,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,,0,07-10-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,144,,14-04-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1097,,18-03-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,1,,25-05-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,1,19-05-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,154,01-07-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,1,,31-03-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,90,,17-07-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,25-02-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,123,,05-09-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,96,,23-06-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,87,20-04-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,61,,13-10-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,,9,12-05-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,11242,,23-10-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,17-04-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,0,22-03-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,1,06-09-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,29,,22-08-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,38,,03-09-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,,4,24-07-2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,1,24-04-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,404,,22-05-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,96,02-05-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,904,,05-04-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,89,,26-03-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,3,29-07-2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,,7,29-05-2020,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,,16,06-10-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,1130,,25-07-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,1,10-05-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,8,08-08-2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,17,,05-05-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,22-05-2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,0,0,08-09-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,107,,09-06-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,0,0,19-01-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,03-01-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,0,0,14-02-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,5,10-06-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,8,24-09-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,47,,12-04-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,03-05-2020,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,119,,05-09-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,0,0,24-01-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,116,23-10-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,0,09-09-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,1,01-05-2020,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,0,0,11-05-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,0,0,17-02-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,0,12-03-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,116,,04-05-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,1,09-10-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,0,0,06-01-2020,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,,0,26-07-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,83,,17-03-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,15-01-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,,80,20-10-2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,1,,31-05-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,,0,27-03-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,39,,15-10-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,,0,29-03-2020,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,,84,18-10-2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,0,0,23-01-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,0,0,04-02-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,67,,17-05-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,23-01-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,22-05-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,,0,13-03-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,,4,19-08-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,32,,29-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,22-07-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,19-01-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,,5,02-10-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,0,0,16-09-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,0,09-03-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,0,0,11-02-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,0,0,05-02-2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,5,,20-03-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,48,09-05-2020,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,4,,19-04-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,,0,16-03-2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,,0,01-10-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,3,,15-06-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,4,06-06-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,10,,15-07-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,3,,05-05-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,149,,11-04-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,799,,30-04-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,,33,17-05-2020,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,,0,13-08-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1158,,11-06-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,0,11-05-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,150,,28-06-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,,1,22-06-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,45,,11-08-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,16,07-04-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,48,,26-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,09-02-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,0,0,15-02-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,24-05-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,712,,03-10-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,,1,24-07-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,0,0,12-02-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,3,30-07-2020,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,0,0,06-01-2020,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2,,25-07-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,17-01-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,7,,10-06-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,,0,11-08-2020,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,0,0,13-03-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,5,25-07-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,8,,28-08-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,12-07-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,28-02-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,625,,16-08-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,0,0,28-02-2020,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,,14,01-06-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,46,,05-04-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,,11,21-10-2020,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,,0,02-07-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,0,0,26-02-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,0,21-03-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,0,0,28-01-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,,0,24-07-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,209,,10-10-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,57,,18-04-2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,03-03-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,15-01-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,338,,19-09-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,1,16-06-2020,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,40,,09-04-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,7691,,24-03-2020,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,,0,11-07-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,5,04-09-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,3,17-05-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2931,,26-03-2020,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,,0,14-08-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,5,,09-07-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,1,20-07-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,2,13-08-2020,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,,34,17-04-2020,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,395,,19-10-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,40,,16-03-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,8,,11-10-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,0,0,23-02-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,,1,25-04-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,1,29-08-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,14,,22-03-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,,2,29-06-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,426,,23-07-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,7,20-04-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,1508,,03-09-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,45,,14-08-2020,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,,0,10-08-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,73,,28-04-2020,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,,7,14-07-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,,2,22-10-2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,02-10-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,1,08-07-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,6,28-04-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,69,,05-05-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,1,31-07-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1192,,02-07-2020,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,1248,,21-06-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,22,,15-06-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,270,,07-05-2020,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,601,,07-08-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,126,,18-05-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,7,12-10-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,1039,,05-05-2020,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,146,,15-08-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,28-07-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,1,,26-05-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,4,,16-05-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,42,,23-09-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,20,06-10-2020,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,0,0,22-05-2020,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,0,0,15-01-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,36,,09-04-2020,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,10,,27-03-2020,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,0,0,23-01-2020,"Epidemic intelligence, national daily data"
Faroes,,,48865,0,0,09-06-2020,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,0,0,03-03-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,0,0,29-02-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,0,17-09-2020,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,,0,26-03-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,0,17-09-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,0,04-01-2020,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,,0,17-03-2020,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,,0,13-03-2020,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,,35,21-03-2020,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,0,0,30-01-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,07-07-2020,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,,4,11-04-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,,6,11-05-2020,"Epidemic intelligence, national daily data"
